image name;longitude;lattude;altitude
IMG_0000.tif;39.702555;32.968581;92.33
IMG_0001.tif;39.703038;32.968633;91.00
IMG_0002.tif;39.703038;32.968633;91.00
IMG_0003.tif;39.703252;32.969433;99.83
IMG_0004.tif;39.703551;32.969848;102.83
IMG_0005.tif;39.704124;32.970013;101.00
IMG_0006.tif;39.704882;32.969961;103.33
IMG_0007.tif;39.705623;32.969955;100.50
IMG_0008.tif;39.706088;32.969971;97.17
IMG_0009.tif;39.706786;32.969955;96.50
IMG_0010.tif;39.707197;32.969772;102.00
IMG_0011.tif;39.707424;32.969522;100.50
IMG_0012.tif;39.707434;32.969123;98.83
IMG_0013.tif;39.707295;32.969078;98.83
IMG_0014.tif;39.707116;32.969256;101.67
IMG_0015.tif;39.707072;32.969388;100.50
IMG_0016.tif;39.707024;32.969501;100.17
IMG_0017.tif;39.706935;32.969652;102.67
IMG_0018.tif;39.706873;32.969718;98.67
IMG_0019.tif;39.706770;32.969790;97.33
IMG_0020.tif;39.706607;32.969930;97.17
IMG_0021.tif;39.706525;32.970010;98.17
IMG_0022.tif;39.706416;32.970119;101.50
IMG_0023.tif;39.706331;32.970189;100.83
IMG_0024.tif;39.706197;32.970272;97.00
IMG_0025.tif;39.706105;32.970331;100.33
IMG_0026.tif;39.706033;32.970385;100.17
IMG_0027.tif;39.705956;32.970442;101.17
IMG_0028.tif;39.705896;32.970498;102.00
IMG_0029.tif;39.705829;32.970557;99.67
IMG_0030.tif;39.705772;32.970598;98.17
IMG_0031.tif;39.705692;32.970648;96.67
IMG_0032.tif;39.705574;32.970699;97.33
IMG_0033.tif;39.705479;32.970629;98.83
IMG_0034.tif;39.705361;32.970289;99.00
IMG_0035.tif;39.705450;32.969994;100.17
IMG_0036.tif;39.705849;32.969707;102.00
IMG_0037.tif;39.706243;32.969650;101.83
IMG_0038.tif;39.706563;32.969611;102.83
IMG_0039.tif;39.707181;32.969384;102.00
IMG_0040.tif;39.707392;32.969252;100.83
IMG_0041.tif;39.707896;32.968635;101.50
IMG_0042.tif;39.707873;32.968443;103.67
IMG_0043.tif;39.707763;32.968343;101.33
IMG_0044.tif;39.707651;32.968387;98.50
IMG_0045.tif;39.707512;32.968582;99.50
IMG_0046.tif;39.707434;32.968720;99.50
IMG_0047.tif;39.707342;32.968829;100.50
IMG_0048.tif;39.707238;32.968927;101.83
IMG_0049.tif;39.707146;32.969010;102.00
IMG_0050.tif;39.706958;32.969153;106.17
IMG_0051.tif;39.706874;32.969230;105.83
IMG_0052.tif;39.706708;32.969387;109.00
IMG_0053.tif;39.706626;32.969470;106.50
IMG_0054.tif;39.706533;32.969542;105.50
IMG_0055.tif;39.706378;32.969645;104.00
IMG_0056.tif;39.706293;32.969674;102.00
IMG_0057.tif;39.706175;32.969718;101.50
IMG_0058.tif;39.706093;32.969788;103.50
IMG_0059.tif;39.706053;32.969857;104.50
IMG_0060.tif;39.705984;32.969912;100.00
IMG_0061.tif;39.705866;32.969930;102.33
IMG_0062.tif;39.705821;32.969965;106.00
IMG_0063.tif;39.705763;32.970068;105.00
IMG_0064.tif;39.705713;32.970120;106.00
IMG_0065.tif;39.705597;32.970176;107.50
IMG_0066.tif;39.705517;32.970221;108.33
IMG_0067.tif;39.705385;32.970338;108.33
IMG_0068.tif;39.705335;32.970382;107.67
IMG_0069.tif;39.705206;32.970471;104.17
IMG_0070.tif;39.705145;32.970510;101.00
IMG_0071.tif;39.705046;32.970518;99.17
IMG_0072.tif;39.704907;32.970454;97.00
IMG_0073.tif;39.704864;32.970373;98.83
IMG_0074.tif;39.704879;32.970178;98.83
IMG_0075.tif;39.704952;32.970003;95.50
IMG_0076.tif;39.705165;32.969693;98.83
IMG_0077.tif;39.705511;32.969487;102.33
IMG_0078.tif;39.705808;32.969422;106.17
